Date,Time,Theater,Film,Runtime,isAlmostSoldOut,posterDynamic,first_seen_date,last_updated,source
01/15/2026,9:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/16/2026,12:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/16/2026,3:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/16/2026,6:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/16/2026,9:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/17/2026,12:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/17/2026,3:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/17/2026,6:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/17/2026,9:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/18/2026,1:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/18/2026,4:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/18/2026,7:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/19/2026,4:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/19/2026,7:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/20/2026,4:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/20/2026,7:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/21/2026,4:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/21/2026,7:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/22/2026,4:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/22/2026,7:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/23/2026,3:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/23/2026,6:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/23/2026,9:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/24/2026,12:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/24/2026,3:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/24/2026,6:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/24/2026,9:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/25/2026,1:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/25/2026,4:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/25/2026,7:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/26/2026,4:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/26/2026,7:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/27/2026,4:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/27/2026,7:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/28/2026,4:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/28/2026,7:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/29/2026,4:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/29/2026,7:30 PM,SIFF Cinema Downtown,28 Years Later: The Bone Temple,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_28YLBoneTemple_1600x900.jpg,,,
01/10/2026,1:15 PM,SIFF Film Center,Father Mother Sister Brother,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_FatherMotherSisterBrother_1600x900.jpg,,,
01/10/2026,4:00 PM,SIFF Film Center,Father Mother Sister Brother,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_FatherMotherSisterBrother_1600x900.jpg,,,
01/10/2026,6:45 PM,SIFF Film Center,Father Mother Sister Brother,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_FatherMotherSisterBrother_1600x900.jpg,,,
01/11/2026,1:15 PM,SIFF Film Center,Father Mother Sister Brother,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_FatherMotherSisterBrother_1600x900.jpg,,,
01/11/2026,4:00 PM,SIFF Film Center,Father Mother Sister Brother,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_FatherMotherSisterBrother_1600x900.jpg,,,
01/11/2026,6:45 PM,SIFF Film Center,Father Mother Sister Brother,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_FatherMotherSisterBrother_1600x900.jpg,,,
01/12/2026,4:00 PM,SIFF Film Center,Father Mother Sister Brother,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_FatherMotherSisterBrother_1600x900.jpg,,,
01/12/2026,6:45 PM,SIFF Film Center,Father Mother Sister Brother,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_FatherMotherSisterBrother_1600x900.jpg,,,
01/14/2026,4:00 PM,SIFF Film Center,Father Mother Sister Brother,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_FatherMotherSisterBrother_1600x900.jpg,,,
01/14/2026,6:45 PM,SIFF Film Center,Father Mother Sister Brother,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_FatherMotherSisterBrother_1600x900.jpg,,,
01/15/2026,4:00 PM,SIFF Film Center,Father Mother Sister Brother,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_FatherMotherSisterBrother_1600x900.jpg,,,
01/15/2026,6:45 PM,SIFF Film Center,Father Mother Sister Brother,110,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_FatherMotherSisterBrother_1600x900.jpg,,,
04/01/2026,7:30 PM,SIFF Cinema Uptown,Scorsese: The Age of Innocence,139,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Scorsese/CIN_AgeofInnocence_1600x900.jpg,,,
01/10/2026,11:40 AM,SIFF Cinema Uptown,The Secret Agent,159,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_SecretAgent_1600x900.jpg,,,
01/10/2026,3:15 PM,SIFF Cinema Uptown,The Secret Agent,159,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_SecretAgent_1600x900.jpg,,,
01/10/2026,6:50 PM,SIFF Cinema Uptown,The Secret Agent,159,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_SecretAgent_1600x900.jpg,,,
01/11/2026,11:40 AM,SIFF Cinema Uptown,The Secret Agent,159,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_SecretAgent_1600x900.jpg,,,
01/11/2026,3:15 PM,SIFF Cinema Uptown,The Secret Agent,159,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_SecretAgent_1600x900.jpg,,,
01/11/2026,6:50 PM,SIFF Cinema Uptown,The Secret Agent,159,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_SecretAgent_1600x900.jpg,,,
01/12/2026,3:15 PM,SIFF Cinema Uptown,The Secret Agent,159,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_SecretAgent_1600x900.jpg,,,
01/12/2026,6:50 PM,SIFF Cinema Uptown,The Secret Agent,159,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_SecretAgent_1600x900.jpg,,,
01/13/2026,3:15 PM,SIFF Cinema Uptown,The Secret Agent,159,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_SecretAgent_1600x900.jpg,,,
01/13/2026,6:50 PM,SIFF Cinema Uptown,The Secret Agent,159,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_SecretAgent_1600x900.jpg,,,
01/14/2026,3:15 PM,SIFF Cinema Uptown,The Secret Agent,159,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_SecretAgent_1600x900.jpg,,,
01/14/2026,6:50 PM,SIFF Cinema Uptown,The Secret Agent,159,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_SecretAgent_1600x900.jpg,,,
01/15/2026,3:45 PM,SIFF Cinema Uptown,The Secret Agent,159,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_SecretAgent_1600x900.jpg,,,
04/29/2026,7:30 PM,SIFF Cinema Uptown,Scorsese: The Irishman,209,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/Scorsese/CIN_Irishman_1600x900.jpg,,,
01/17/2026,2:00 PM,SIFF Film Center,National Theatre Live: Mrs. Warren’s Profession,120,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_NTLMrsWarrensProfession_1600x900.jpg,,,
01/18/2026,2:00 PM,SIFF Film Center,National Theatre Live: Mrs. Warren’s Profession,120,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_NTLMrsWarrensProfession_1600x900.jpg,,,
01/19/2026,6:30 PM,SIFF Film Center,National Theatre Live: Mrs. Warren’s Profession,120,None,https://www.siff.net/images/CINEMA/2026/Films%20Jan-May/CIN_NTLMrsWarrensProfession_1600x900.jpg,,,
