Date,Time,Theater,Film,Runtime,isAlmostSoldOut,posterDynamic,first_seen_date,last_updated,source
09/28/2025,7:45 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
09/29/2025,4:00 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
09/29/2025,7:45 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
09/30/2025,4:00 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
09/30/2025,7:45 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/01/2025,4:00 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/01/2025,7:45 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/02/2025,4:00 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/02/2025,7:45 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/03/2025,4:00 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/03/2025,7:45 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/04/2025,12:15 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/04/2025,4:00 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/04/2025,7:45 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/05/2025,12:15 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/05/2025,4:00 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/05/2025,7:45 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/06/2025,4:00 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/06/2025,7:45 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/07/2025,4:00 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/07/2025,7:45 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/08/2025,4:00 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
10/08/2025,7:45 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
09/19/2025,4:15 PM,SIFF Cinema Downtown,PTA: The Master,137,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/PTA/CIN_PTA-TheMaster_1600x900.jpg,,,
09/23/2025,7:45 PM,SIFF Cinema Downtown,PTA: The Master,137,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/PTA/CIN_PTA-TheMaster_1600x900.jpg,,,
10/22/2025,7:00 PM,SIFF Cinema Uptown,DocFest: The Secret of Me,97,None,https://www.siff.net/images/CINEMA/2025/DocFest/Key%20Stills/SecretofMe.jpg,,,
